epoch,tr loss,tr acc,vloss,vacc,current lr,next lr,monitor,% improv,duration
1,3.5958492755889893,0.9163101315498352,1.5639492273330688,0.9766666889190674,0.0010000000474974513,0.0010000000474974513,val_loss,0.0,273.5409359931946
2,0.9319697022438049,0.960606038570404,0.4806182384490967,0.971666693687439,0.0010000000474974513,0.0010000000474974513,val_loss,69.26893596995646,254.40519642829895
3,0.34832698106765747,0.9689839482307434,0.2160366028547287,0.9816666841506958,0.0010000000474974513,0.0010000000474974513,val_loss,55.05026951289748,254.6947100162506
4,0.20443759858608246,0.9761140942573547,0.179351344704628,0.9666666388511658,0.0010000000474974513,0.0010000000474974513,val_loss,16.981038243213483,254.55236530303955
5,0.15305759012699127,0.9819964170455933,0.1515178233385086,0.9783333539962769,0.0010000000474974513,0.0010000000474974513,val_loss,15.51899229523935,246.63726472854614
6,0.1294451802968979,0.9852941036224365,0.1456548273563385,0.9683333039283752,0.0010000000474974513,0.0010000000474974513,val_loss,3.8695091131763975,245.08597683906555
7,0.11056551337242126,0.9897504448890686,0.11091899871826172,0.9833333492279053,0.0010000000474974513,0.0010000000474974513,val_loss,23.84804490763428,244.24862670898438
8,0.09765592217445374,0.9919785857200623,0.12186622619628906,0.9733333587646484,0.0010000000474974513,0.0005000000237487257,val_loss,-9.869569329447067,244.07539343833923
9,0.08669427782297134,0.9957219362258911,0.1459784209728241,0.9683333039283752,0.0005000000237487257,0.0002500000118743628,val_loss,-31.608130851969356,244.63055658340454
10,0.08502418547868729,0.9964349269866943,0.11738498508930206,0.9733333587646484,0.0002500000118743628,0.0001250000059371814,val_loss,-5.829466949538721,245.10664772987366
